seller_id,seller_zip_code_prefix,seller_city,seller_state,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state
3442f8959a84dea7ee197c632cb2df15,13023,campinas,SP,-22.893862529175948,-47.06200600118296,campinas,SP
d1b65fc7debc3361ea86b5f14c68d2e2,13844,mogi guacu,SP,-22.382868826262087,-46.947991678278754,mogi-guacu,SP
ce3ad9de960102d0677a81f5d0bb7b2d,20031,rio de janeiro,RJ,-22.91017422770652,-43.17677490813088,rio de janeiro,RJ
c0f3eea2e14555b6faeea3dd58c1b1c3,04195,sao paulo,SP,-23.6569914183815,-46.61249024639332,sao paulo,SP
51a04a8a6bdcb23deccc82b0b80742cf,12914,braganca paulista,SP,-22.96376266067089,-46.534675564592376,bragança paulista,SP
c240c4061717ac1806ae6ee72be3533b,20920,rio de janeiro,RJ,-22.89490771565009,-43.23080588235342,rio de janeiro,RJ
e49c26c3edfa46d227d5121a6b6e4d37,55325,brejao,PE,-9.024839005157318,-36.57020044972058,brejão,PE
1b938a7ec6ac5061a66a3766e0e75f90,16304,penapolis,SP,-21.43544550777204,-50.077238988563366,penapolis,SP
768a86e36ad6aae3d03ee3c6433d61df,01529,sao paulo,SP,-23.5688472717122,-46.63494157092152,sao paulo,SP
ccc4bbb5f32a6ab2b7066a4130f114e3,80310,curitiba,PR,-25.45781550929083,-49.309207968492174,curitiba,PR
8cb7c5ddf41f4d506eba76e9a4702a25,75110,anapolis,GO,-16.333040851685464,-48.94066945526677,anapolis,GO
a7a9b880c49781da66651ccf4ba9ac38,13530,itirapina,SP,-22.253001275607332,-47.81789510997462,itirapina,SP
8bd0f31cf0a614c658f6763bd02dea69,01222,sao paulo,SP,-23.545494233858072,-46.65018175916093,são paulo,SP
05a48cc8859962767935ab9087417fbb,05372,sao paulo,SP,-23.582343384399003,-46.76317937607479,são paulo,SP
7b8e8ec35bad4b0ef7e3963650b0a87b,88705,tubarao,SC,-28.479850176250736,-48.99729201710646,tubarao,SC
1444c08e64d55fb3c25f0f09c07ffcf2,42738,lauro de freitas,BA,-12.89484119866714,-38.339099858948224,lauro de freitas,BA
166e8f1381e09651983c38b1f6f91c11,88780,imbituba,SC,-28.23919513267532,-48.67329713366172,imbituba,SC
e38db885400cd35c71dfd162f2c1dbcf,70740,brasilia,DF,-15.76851619295844,-47.891282625,brasilia,DF
d2e753bb80b7d4faa77483ed00edc8ca,45810,porto seguro,BA,-16.434573642906564,-39.07602575113308,porto seguro,BA
f9ec7093df3a7b346b7bcf7864069ca3,05138,sao paulo,SP,-23.485253731057767,-46.73411899985577,são paulo,SP
4e6015589b781adaa5ce7f1892d06bb1,11440,guaruja,SP,-23.98412434915458,-46.24151037468982,guarujá,SP
4cf490a58259286ada5ba8525ba9e84a,14910,tabatinga,SP,-21.736670106758545,-48.68785503413496,tabatinga,SP
f7496d659ca9fdaf323c0aae84176632,04156,sao paulo,SP,-23.631974313765944,-46.62237316954957,sao paulo,SP
2ff97219cb8622eaf3cd89b7d9c09824,13320,salto,SP,-23.20247301887012,-47.29433699694157,salto,SP
8bd0e3abda539b9479c4b44a691be1ec,98910,tres de maio,RS,-27.777156219465542,-54.23589933698606,tres de maio,RS
2a1348e9addc1af5aaa619b1a3679d6b,30494,belo horizonte,MG,-19.96073617623641,-43.95972617845809,belo horizonte,MG
2078fe5066350e7d220c0ad3a3bbc6c1,86707,arapongas,PR,-23.42474812938231,-51.432735733794914,arapongas,PR
116ccb1a1604bc88e4d234a8c23f33de,09850,sao bernardo do campo,SP,-23.72660126431488,-46.580070208785166,sao bernardo do campo,SP
430315b7bb4b6e4b3c978f9dfa9b0558,04857,sao paulo,SP,-23.7836170269202,-46.68390147737895,sao paulo,SP
406822777a0b9eb5c50e442dd4cd3ec5,18500,tatui,SP,-23.05259335018585,-47.836107207115525,laranjal paulista,SP
4dbd95a08b31ede5c82d3f861cb1ce1a,80210,curitiba,PR,-25.43990022814357,-49.2462196629093,curitiba,PR
e9e446d01bd10a97a8ffcfc4a3a20cb2,02261,sao paulo,SP,-23.467961586450706,-46.57715992131685,sao paulo,SP
d52cbce9845184537284a23c3bc3da0e,88495,garopaba,SC,-28.02984026150901,-48.6232941268394,garopaba,SC
d9a84e1403de8da0c3aa531d6d108ba6,03562,sao paulo,SP,-23.544866169023045,-46.497269823619376,são paulo,SP
9c690ceacd5c66731bf443ea810195cb,37650,camanducaia,MG,-22.754789486324828,-46.13990303459445,camanducaia,MG
1f9ab4708f3056ede07124aad39a2554,17602,tupa,SP,-21.930850430923154,-50.49756182976886,tupa,SP
1961c3e1272bfeceb05d0b78b5bbfdaf,07241,guarulhos,SP,-23.44660201082004,-46.4276417216227,guarulhos,SP
d3e7d37c0df9aef383f3f2a15b0dddfb,83050,sao jose dos pinhais,PR,-25.499377069652105,-49.1768075263366,sao jose dos pinhais,PR
